음식료품_negative,음식료품_positive,음식료품_negative_rate,음식료품_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,섬유의복_negative,섬유의복_positive,섬유의복_negative_rate,섬유의복_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,화학_negative,화학_positive,화학_negative_rate,화학_positive_rate,의약품_negative,의약품_positive,의약품_negative_rate,의약품_positive_rate,비금속광물_negative,비금속광물_positive,비금속광물_negative_rate,비금속광물_positive_rate,철강금속_negative,철강금속_positive,철강금속_negative_rate,철강금속_positive_rate,기계_negative,기계_positive,기계_negative_rate,기계_positive_rate,전기전자_negative,전기전자_positive,전기전자_negative_rate,전기전자_positive_rate,의료정밀_negative,의료정밀_positive,의료정밀_negative_rate,의료정밀_positive_rate,운수장비_negative,운수장비_positive,운수장비_negative_rate,운수장비_positive_rate,유통업_negative,유통업_positive,유통업_negative_rate,유통업_positive_rate,전기가스업_negative,전기가스업_positive,전기가스업_negative_rate,전기가스업_positive_rate,건설업_negative,건설업_positive,건설업_negative_rate,건설업_positive_rate,운수창고_negative,운수창고_positive,운수창고_negative_rate,운수창고_positive_rate,통신업_negative,통신업_positive,통신업_negative_rate,통신업_positive_rate,금융업_negative,금융업_positive,금융업_negative_rate,금융업_positive_rate,은행_negative,은행_positive,은행_negative_rate,은행_positive_rate,증권_negative,증권_positive,증권_negative_rate,증권_positive_rate,보험_negative,보험_positive,보험_negative_rate,보험_positive_rate,서비스업_negative,서비스업_positive,서비스업_negative_rate,서비스업_positive_rate
2,3,0.4,0.6,1,10,0.09090909090909091,0.9090909090909091,2,14,0.125,0.875,1,10,0.09090909090909091,0.9090909090909091,1,2,0.3333333333333333,0.6666666666666666,0,0,,,5,8,0.38461538461538464,0.6153846153846154,4,10,0.2857142857142857,0.7142857142857143,0,4,0.0,1.0,2,3,0.4,0.6,1,14,0.06666666666666667,0.9333333333333333,3,5,0.375,0.625,2,1,0.6666666666666666,0.3333333333333333,1,10,0.09090909090909091,0.9090909090909091,0,4,0.0,1.0,4,12,0.25,0.75,2,9,0.18181818181818182,0.8181818181818182,0,0,,,0,0,,,1,4,0.2,0.8,0,15,0.0,1.0,1,0,1.0,0.0
4,3,0.5714285714285714,0.42857142857142855,0,6,0.0,1.0,5,3,0.625,0.375,0,6,0.0,1.0,2,12,0.14285714285714285,0.8571428571428571,2,0,1.0,0.0,3,5,0.375,0.625,2,7,0.2222222222222222,0.7777777777777778,0,2,0.0,1.0,4,7,0.36363636363636365,0.6363636363636364,2,7,0.2222222222222222,0.7777777777777778,2,7,0.2222222222222222,0.7777777777777778,1,0,1.0,0.0,4,6,0.4,0.6,3,1,0.75,0.25,0,8,0.0,1.0,3,6,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,3,14,0.17647058823529413,0.8235294117647058,2,1,0.6666666666666666,0.3333333333333333
3,2,0.6,0.4,1,2,0.3333333333333333,0.6666666666666666,4,2,0.6666666666666666,0.3333333333333333,1,2,0.3333333333333333,0.6666666666666666,1,4,0.2,0.8,0,4,0.0,1.0,5,1,0.8333333333333334,0.16666666666666666,6,2,0.75,0.25,1,3,0.25,0.75,2,1,0.6666666666666666,0.3333333333333333,2,0,1.0,0.0,5,1,0.8333333333333334,0.16666666666666666,1,2,0.3333333333333333,0.6666666666666666,4,1,0.8,0.2,2,2,0.5,0.5,8,1,0.8888888888888888,0.1111111111111111,4,1,0.8,0.2,1,0,1.0,0.0,0,2,0.0,1.0,4,2,0.6666666666666666,0.3333333333333333,0,20,0.0,1.0,1,1,0.5,0.5
2,9,0.18181818181818182,0.8181818181818182,0,8,0.0,1.0,2,9,0.18181818181818182,0.8181818181818182,0,8,0.0,1.0,0,4,0.0,1.0,2,1,0.6666666666666666,0.3333333333333333,0,5,0.0,1.0,2,6,0.25,0.75,2,5,0.2857142857142857,0.7142857142857143,4,6,0.4,0.6,1,9,0.1,0.9,3,7,0.3,0.7,0,3,0.0,1.0,2,12,0.14285714285714285,0.8571428571428571,0,3,0.0,1.0,3,6,0.3333333333333333,0.6666666666666666,1,8,0.1111111111111111,0.8888888888888888,1,3,0.25,0.75,0,6,0.0,1.0,1,0,1.0,0.0,0,15,0.0,1.0,0,0,,
7,8,0.4666666666666667,0.5333333333333333,6,9,0.4,0.6,5,11,0.3125,0.6875,6,9,0.4,0.6,6,8,0.42857142857142855,0.5714285714285714,0,0,,,11,9,0.55,0.45,6,10,0.375,0.625,4,4,0.5,0.5,11,5,0.6875,0.3125,11,5,0.6875,0.3125,6,7,0.46153846153846156,0.5384615384615384,4,4,0.5,0.5,9,9,0.5,0.5,7,2,0.7777777777777778,0.2222222222222222,5,10,0.3333333333333333,0.6666666666666666,4,8,0.3333333333333333,0.6666666666666666,3,5,0.375,0.625,0,3,0.0,1.0,4,0,1.0,0.0,0,18,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666
2,4,0.3333333333333333,0.6666666666666666,3,3,0.5,0.5,4,6,0.4,0.6,3,3,0.5,0.5,0,3,0.0,1.0,1,5,0.16666666666666666,0.8333333333333334,3,9,0.25,0.75,5,8,0.38461538461538464,0.6153846153846154,4,4,0.5,0.5,5,3,0.625,0.375,1,7,0.125,0.875,3,3,0.5,0.5,2,6,0.25,0.75,3,9,0.25,0.75,3,2,0.6,0.4,3,8,0.2727272727272727,0.7272727272727273,3,6,0.3333333333333333,0.6666666666666666,1,3,0.25,0.75,0,4,0.0,1.0,0,2,0.0,1.0,3,10,0.23076923076923078,0.7692307692307693,1,2,0.3333333333333333,0.6666666666666666
3,9,0.25,0.75,2,5,0.2857142857142857,0.7142857142857143,3,6,0.3333333333333333,0.6666666666666666,2,5,0.2857142857142857,0.7142857142857143,3,8,0.2727272727272727,0.7272727272727273,1,3,0.25,0.75,3,9,0.25,0.75,4,5,0.4444444444444444,0.5555555555555556,0,3,0.0,1.0,2,3,0.4,0.6,3,5,0.375,0.625,2,4,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,2,4,0.3333333333333333,0.6666666666666666,1,2,0.3333333333333333,0.6666666666666666,6,5,0.5454545454545454,0.45454545454545453,4,6,0.4,0.6,1,0,1.0,0.0,0,6,0.0,1.0,2,3,0.4,0.6,0,14,0.0,1.0,0,3,0.0,1.0
1,1,0.5,0.5,1,2,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,5,4,0.5555555555555556,0.4444444444444444,0,1,0.0,1.0,1,4,0.2,0.8,3,3,0.5,0.5,0,6,0.0,1.0,7,5,0.5833333333333334,0.4166666666666667,0,2,0.0,1.0,1,3,0.25,0.75,0,3,0.0,1.0,2,4,0.3333333333333333,0.6666666666666666,3,3,0.5,0.5,0,4,0.0,1.0,2,3,0.4,0.6,0,1,0.0,1.0,0,0,,,4,0,1.0,0.0,1,15,0.0625,0.9375,1,1,0.5,0.5
3,4,0.42857142857142855,0.5714285714285714,3,8,0.2727272727272727,0.7272727272727273,5,10,0.3333333333333333,0.6666666666666666,3,8,0.2727272727272727,0.7272727272727273,1,3,0.25,0.75,1,0,1.0,0.0,4,7,0.36363636363636365,0.6363636363636364,5,11,0.3125,0.6875,1,1,0.5,0.5,10,8,0.5555555555555556,0.4444444444444444,3,13,0.1875,0.8125,6,8,0.42857142857142855,0.5714285714285714,0,2,0.0,1.0,3,8,0.2727272727272727,0.7272727272727273,1,3,0.25,0.75,4,6,0.4,0.6,4,14,0.2222222222222222,0.7777777777777778,2,4,0.3333333333333333,0.6666666666666666,3,1,0.75,0.25,3,2,0.6,0.4,2,13,0.13333333333333333,0.8666666666666667,0,2,0.0,1.0
3,19,0.13636363636363635,0.8636363636363636,3,18,0.14285714285714285,0.8571428571428571,3,20,0.13043478260869565,0.8695652173913043,3,18,0.14285714285714285,0.8571428571428571,4,3,0.5714285714285714,0.42857142857142855,0,1,0.0,1.0,3,14,0.17647058823529413,0.8235294117647058,4,18,0.18181818181818182,0.8181818181818182,0,2,0.0,1.0,6,9,0.4,0.6,3,13,0.1875,0.8125,2,8,0.2,0.8,3,3,0.5,0.5,4,24,0.14285714285714285,0.8571428571428571,2,4,0.3333333333333333,0.6666666666666666,6,20,0.23076923076923078,0.7692307692307693,7,16,0.30434782608695654,0.6956521739130435,3,4,0.42857142857142855,0.5714285714285714,0,0,,,2,2,0.5,0.5,0,18,0.0,1.0,1,1,0.5,0.5
